station,date,heure,jour_semaine,est_weekend,meteo,affluence
BASILIQUE DE SAINT-DENIS,2023-01-02,6,0,0,0,85
BASILIQUE DE SAINT-DENIS,2023-01-02,7,0,0,0,413
BASILIQUE DE SAINT-DENIS,2023-01-02,8,0,0,0,560
BASILIQUE DE SAINT-DENIS,2023-01-02,9,0,0,0,485
BASILIQUE DE SAINT-DENIS,2023-01-02,10,0,0,0,101
BASILIQUE DE SAINT-DENIS,2023-01-02,11,0,0,0,9
BASILIQUE DE SAINT-DENIS,2023-01-02,12,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,13,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,14,0,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-02,15,0,0,0,32
BASILIQUE DE SAINT-DENIS,2023-01-02,16,0,0,0,165
BASILIQUE DE SAINT-DENIS,2023-01-02,17,0,0,0,485
BASILIQUE DE SAINT-DENIS,2023-01-02,18,0,0,0,697
BASILIQUE DE SAINT-DENIS,2023-01-02,19,0,0,0,452
BASILIQUE DE SAINT-DENIS,2023-01-02,20,0,0,0,188
BASILIQUE DE SAINT-DENIS,2023-01-02,21,0,0,0,35
BASILIQUE DE SAINT-DENIS,2023-01-02,22,0,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-02,23,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-03,0,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,1,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,2,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,3,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,4,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,5,1,0,1,8
BASILIQUE DE SAINT-DENIS,2023-01-03,6,1,0,1,117
BASILIQUE DE SAINT-DENIS,2023-01-03,7,1,0,1,553
BASILIQUE DE SAINT-DENIS,2023-01-03,8,1,0,1,808
BASILIQUE DE SAINT-DENIS,2023-01-03,9,1,0,1,513
BASILIQUE DE SAINT-DENIS,2023-01-03,10,1,0,1,128
BASILIQUE DE SAINT-DENIS,2023-01-03,11,1,0,1,9
BASILIQUE DE SAINT-DENIS,2023-01-03,12,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,13,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-03,14,1,0,1,3
BASILIQUE DE SAINT-DENIS,2023-01-03,15,1,0,1,44
BASILIQUE DE SAINT-DENIS,2023-01-03,16,1,0,1,236
BASILIQUE DE SAINT-DENIS,2023-01-03,17,1,0,1,712
BASILIQUE DE SAINT-DENIS,2023-01-03,18,1,0,1,920
BASILIQUE DE SAINT-DENIS,2023-01-03,19,1,0,1,566
BASILIQUE DE SAINT-DENIS,2023-01-03,20,1,0,1,189
BASILIQUE DE SAINT-DENIS,2023-01-03,21,1,0,1,47
BASILIQUE DE SAINT-DENIS,2023-01-03,22,1,0,1,3
BASILIQUE DE SAINT-DENIS,2023-01-03,23,1,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,0,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,1,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,2,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,3,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,4,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,5,2,0,1,7
BASILIQUE DE SAINT-DENIS,2023-01-04,6,2,0,1,116
BASILIQUE DE SAINT-DENIS,2023-01-04,7,2,0,1,585
BASILIQUE DE SAINT-DENIS,2023-01-04,8,2,0,1,875
BASILIQUE DE SAINT-DENIS,2023-01-04,9,2,0,1,574
BASILIQUE DE SAINT-DENIS,2023-01-04,10,2,0,1,126
BASILIQUE DE SAINT-DENIS,2023-01-04,11,2,0,1,10
BASILIQUE DE SAINT-DENIS,2023-01-04,12,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,13,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-04,14,2,0,1,3
BASILIQUE DE SAINT-DENIS,2023-01-04,15,2,0,1,39
BASILIQUE DE SAINT-DENIS,2023-01-04,16,2,0,1,220
BASILIQUE DE SAINT-DENIS,2023-01-04,17,2,0,1,607
BASILIQUE DE SAINT-DENIS,2023-01-04,18,2,0,1,812
BASILIQUE DE SAINT-DENIS,2023-01-04,19,2,0,1,685
BASILIQUE DE SAINT-DENIS,2023-01-04,20,2,0,1,242
BASILIQUE DE SAINT-DENIS,2023-01-04,21,2,0,1,48
BASILIQUE DE SAINT-DENIS,2023-01-04,22,2,0,1,3
BASILIQUE DE SAINT-DENIS,2023-01-04,23,2,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,0,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,1,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,2,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,3,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,4,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,5,3,0,1,10
BASILIQUE DE SAINT-DENIS,2023-01-05,6,3,0,1,133
BASILIQUE DE SAINT-DENIS,2023-01-05,7,3,0,1,524
BASILIQUE DE SAINT-DENIS,2023-01-05,8,3,0,1,814
BASILIQUE DE SAINT-DENIS,2023-01-05,9,3,0,1,482
BASILIQUE DE SAINT-DENIS,2023-01-05,10,3,0,1,109
BASILIQUE DE SAINT-DENIS,2023-01-05,11,3,0,1,9
BASILIQUE DE SAINT-DENIS,2023-01-05,12,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,13,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-05,14,3,0,1,3
BASILIQUE DE SAINT-DENIS,2023-01-05,15,3,0,1,46
BASILIQUE DE SAINT-DENIS,2023-01-05,16,3,0,1,248
BASILIQUE DE SAINT-DENIS,2023-01-05,17,3,0,1,509
BASILIQUE DE SAINT-DENIS,2023-01-05,18,3,0,1,758
BASILIQUE DE SAINT-DENIS,2023-01-05,19,3,0,1,562
BASILIQUE DE SAINT-DENIS,2023-01-05,20,3,0,1,228
BASILIQUE DE SAINT-DENIS,2023-01-05,21,3,0,1,48
BASILIQUE DE SAINT-DENIS,2023-01-05,22,3,0,1,3
BASILIQUE DE SAINT-DENIS,2023-01-05,23,3,0,1,0
BASILIQUE DE SAINT-DENIS,2023-01-06,0,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,1,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,2,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,3,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,4,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,5,4,0,0,7
BASILIQUE DE SAINT-DENIS,2023-01-06,6,4,0,0,97
BASILIQUE DE SAINT-DENIS,2023-01-06,7,4,0,0,423
BASILIQUE DE SAINT-DENIS,2023-01-06,8,4,0,0,655
BASILIQUE DE SAINT-DENIS,2023-01-06,9,4,0,0,456
BASILIQUE DE SAINT-DENIS,2023-01-06,10,4,0,0,98
BASILIQUE DE SAINT-DENIS,2023-01-06,11,4,0,0,8
BASILIQUE DE SAINT-DENIS,2023-01-06,12,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,13,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-06,14,4,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-06,15,4,0,0,31
BASILIQUE DE SAINT-DENIS,2023-01-06,16,4,0,0,172
BASILIQUE DE SAINT-DENIS,2023-01-06,17,4,0,0,503
BASILIQUE DE SAINT-DENIS,2023-01-06,18,4,0,0,795
BASILIQUE DE SAINT-DENIS,2023-01-06,19,4,0,0,470
BASILIQUE DE SAINT-DENIS,2023-01-06,20,4,0,0,197
BASILIQUE DE SAINT-DENIS,2023-01-06,21,4,0,0,38
BASILIQUE DE SAINT-DENIS,2023-01-06,22,4,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-06,23,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,0,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,1,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,2,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,3,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,4,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,5,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,6,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-07,7,5,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-07,8,5,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-07,9,5,1,0,18
BASILIQUE DE SAINT-DENIS,2023-01-07,10,5,1,0,61
BASILIQUE DE SAINT-DENIS,2023-01-07,11,5,1,0,147
BASILIQUE DE SAINT-DENIS,2023-01-07,12,5,1,0,300
BASILIQUE DE SAINT-DENIS,2023-01-07,13,5,1,0,564
BASILIQUE DE SAINT-DENIS,2023-01-07,14,5,1,0,663
BASILIQUE DE SAINT-DENIS,2023-01-07,15,5,1,0,778
BASILIQUE DE SAINT-DENIS,2023-01-07,16,5,1,0,661
BASILIQUE DE SAINT-DENIS,2023-01-07,17,5,1,0,494
BASILIQUE DE SAINT-DENIS,2023-01-07,18,5,1,0,260
BASILIQUE DE SAINT-DENIS,2023-01-07,19,5,1,0,143
BASILIQUE DE SAINT-DENIS,2023-01-07,20,5,1,0,48
BASILIQUE DE SAINT-DENIS,2023-01-07,21,5,1,0,22
BASILIQUE DE SAINT-DENIS,2023-01-07,22,5,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-07,23,5,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-08,0,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,1,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,2,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,3,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,4,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,5,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,6,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-08,7,6,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-08,8,6,1,0,6
BASILIQUE DE SAINT-DENIS,2023-01-08,9,6,1,0,19
BASILIQUE DE SAINT-DENIS,2023-01-08,10,6,1,0,49
BASILIQUE DE SAINT-DENIS,2023-01-08,11,6,1,0,153
BASILIQUE DE SAINT-DENIS,2023-01-08,12,6,1,0,274
BASILIQUE DE SAINT-DENIS,2023-01-08,13,6,1,0,448
BASILIQUE DE SAINT-DENIS,2023-01-08,14,6,1,0,719
BASILIQUE DE SAINT-DENIS,2023-01-08,15,6,1,0,862
BASILIQUE DE SAINT-DENIS,2023-01-08,16,6,1,0,817
BASILIQUE DE SAINT-DENIS,2023-01-08,17,6,1,0,417
BASILIQUE DE SAINT-DENIS,2023-01-08,18,6,1,0,304
BASILIQUE DE SAINT-DENIS,2023-01-08,19,6,1,0,147
BASILIQUE DE SAINT-DENIS,2023-01-08,20,6,1,0,67
BASILIQUE DE SAINT-DENIS,2023-01-08,21,6,1,0,21
BASILIQUE DE SAINT-DENIS,2023-01-08,22,6,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-08,23,6,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-09,0,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,1,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,2,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,3,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,4,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,5,0,0,0,8
BASILIQUE DE SAINT-DENIS,2023-01-09,6,0,0,0,96
BASILIQUE DE SAINT-DENIS,2023-01-09,7,0,0,0,470
BASILIQUE DE SAINT-DENIS,2023-01-09,8,0,0,0,693
BASILIQUE DE SAINT-DENIS,2023-01-09,9,0,0,0,405
BASILIQUE DE SAINT-DENIS,2023-01-09,10,0,0,0,91
BASILIQUE DE SAINT-DENIS,2023-01-09,11,0,0,0,8
BASILIQUE DE SAINT-DENIS,2023-01-09,12,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,13,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-09,14,0,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-09,15,0,0,0,37
BASILIQUE DE SAINT-DENIS,2023-01-09,16,0,0,0,188
BASILIQUE DE SAINT-DENIS,2023-01-09,17,0,0,0,521
BASILIQUE DE SAINT-DENIS,2023-01-09,18,0,0,0,703
BASILIQUE DE SAINT-DENIS,2023-01-09,19,0,0,0,525
BASILIQUE DE SAINT-DENIS,2023-01-09,20,0,0,0,167
BASILIQUE DE SAINT-DENIS,2023-01-09,21,0,0,0,32
BASILIQUE DE SAINT-DENIS,2023-01-09,22,0,0,0,2
BASILIQUE DE SAINT-DENIS,2023-01-09,23,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,0,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,1,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,2,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,3,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,4,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,5,1,0,0,7
BASILIQUE DE SAINT-DENIS,2023-01-10,6,1,0,0,82
BASILIQUE DE SAINT-DENIS,2023-01-10,7,1,0,0,431
BASILIQUE DE SAINT-DENIS,2023-01-10,8,1,0,0,659
BASILIQUE DE SAINT-DENIS,2023-01-10,9,1,0,0,474
BASILIQUE DE SAINT-DENIS,2023-01-10,10,1,0,0,93
BASILIQUE DE SAINT-DENIS,2023-01-10,11,1,0,0,8
BASILIQUE DE SAINT-DENIS,2023-01-10,12,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,13,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-10,14,1,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-10,15,1,0,0,34
BASILIQUE DE SAINT-DENIS,2023-01-10,16,1,0,0,177
BASILIQUE DE SAINT-DENIS,2023-01-10,17,1,0,0,581
BASILIQUE DE SAINT-DENIS,2023-01-10,18,1,0,0,777
BASILIQUE DE SAINT-DENIS,2023-01-10,19,1,0,0,551
BASILIQUE DE SAINT-DENIS,2023-01-10,20,1,0,0,219
BASILIQUE DE SAINT-DENIS,2023-01-10,21,1,0,0,32
BASILIQUE DE SAINT-DENIS,2023-01-10,22,1,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-10,23,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,0,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,1,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,2,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,3,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,4,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,5,2,0,0,7
BASILIQUE DE SAINT-DENIS,2023-01-11,6,2,0,0,98
BASILIQUE DE SAINT-DENIS,2023-01-11,7,2,0,0,436
BASILIQUE DE SAINT-DENIS,2023-01-11,8,2,0,0,634
BASILIQUE DE SAINT-DENIS,2023-01-11,9,2,0,0,395
BASILIQUE DE SAINT-DENIS,2023-01-11,10,2,0,0,105
BASILIQUE DE SAINT-DENIS,2023-01-11,11,2,0,0,8
BASILIQUE DE SAINT-DENIS,2023-01-11,12,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,13,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-11,14,2,0,0,2
BASILIQUE DE SAINT-DENIS,2023-01-11,15,2,0,0,37
BASILIQUE DE SAINT-DENIS,2023-01-11,16,2,0,0,178
BASILIQUE DE SAINT-DENIS,2023-01-11,17,2,0,0,544
BASILIQUE DE SAINT-DENIS,2023-01-11,18,2,0,0,684
BASILIQUE DE SAINT-DENIS,2023-01-11,19,2,0,0,596
BASILIQUE DE SAINT-DENIS,2023-01-11,20,2,0,0,197
BASILIQUE DE SAINT-DENIS,2023-01-11,21,2,0,0,36
BASILIQUE DE SAINT-DENIS,2023-01-11,22,2,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-11,23,2,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,0,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,1,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,2,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,3,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,4,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,5,3,0,0,7
BASILIQUE DE SAINT-DENIS,2023-01-12,6,3,0,0,99
BASILIQUE DE SAINT-DENIS,2023-01-12,7,3,0,0,440
BASILIQUE DE SAINT-DENIS,2023-01-12,8,3,0,0,563
BASILIQUE DE SAINT-DENIS,2023-01-12,9,3,0,0,474
BASILIQUE DE SAINT-DENIS,2023-01-12,10,3,0,0,106
BASILIQUE DE SAINT-DENIS,2023-01-12,11,3,0,0,5
BASILIQUE DE SAINT-DENIS,2023-01-12,12,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,13,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-12,14,3,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-12,15,3,0,0,34
BASILIQUE DE SAINT-DENIS,2023-01-12,16,3,0,0,208
BASILIQUE DE SAINT-DENIS,2023-01-12,17,3,0,0,498
BASILIQUE DE SAINT-DENIS,2023-01-12,18,3,0,0,824
BASILIQUE DE SAINT-DENIS,2023-01-12,19,3,0,0,523
BASILIQUE DE SAINT-DENIS,2023-01-12,20,3,0,0,183
BASILIQUE DE SAINT-DENIS,2023-01-12,21,3,0,0,31
BASILIQUE DE SAINT-DENIS,2023-01-12,22,3,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-12,23,3,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,0,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,1,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,2,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,3,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,4,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,5,4,0,0,8
BASILIQUE DE SAINT-DENIS,2023-01-13,6,4,0,0,100
BASILIQUE DE SAINT-DENIS,2023-01-13,7,4,0,0,483
BASILIQUE DE SAINT-DENIS,2023-01-13,8,4,0,0,729
BASILIQUE DE SAINT-DENIS,2023-01-13,9,4,0,0,380
BASILIQUE DE SAINT-DENIS,2023-01-13,10,4,0,0,94
BASILIQUE DE SAINT-DENIS,2023-01-13,11,4,0,0,7
BASILIQUE DE SAINT-DENIS,2023-01-13,12,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,13,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-13,14,4,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-13,15,4,0,0,40
BASILIQUE DE SAINT-DENIS,2023-01-13,16,4,0,0,223
BASILIQUE DE SAINT-DENIS,2023-01-13,17,4,0,0,515
BASILIQUE DE SAINT-DENIS,2023-01-13,18,4,0,0,841
BASILIQUE DE SAINT-DENIS,2023-01-13,19,4,0,0,544
BASILIQUE DE SAINT-DENIS,2023-01-13,20,4,0,0,205
BASILIQUE DE SAINT-DENIS,2023-01-13,21,4,0,0,34
BASILIQUE DE SAINT-DENIS,2023-01-13,22,4,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-13,23,4,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,0,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,1,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,2,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,3,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,4,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,5,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,6,5,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-14,7,5,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-14,8,5,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-14,9,5,1,0,20
BASILIQUE DE SAINT-DENIS,2023-01-14,10,5,1,0,58
BASILIQUE DE SAINT-DENIS,2023-01-14,11,5,1,0,177
BASILIQUE DE SAINT-DENIS,2023-01-14,12,5,1,0,254
BASILIQUE DE SAINT-DENIS,2023-01-14,13,5,1,0,428
BASILIQUE DE SAINT-DENIS,2023-01-14,14,5,1,0,654
BASILIQUE DE SAINT-DENIS,2023-01-14,15,5,1,0,771
BASILIQUE DE SAINT-DENIS,2023-01-14,16,5,1,0,643
BASILIQUE DE SAINT-DENIS,2023-01-14,17,5,1,0,475
BASILIQUE DE SAINT-DENIS,2023-01-14,18,5,1,0,343
BASILIQUE DE SAINT-DENIS,2023-01-14,19,5,1,0,130
BASILIQUE DE SAINT-DENIS,2023-01-14,20,5,1,0,58
BASILIQUE DE SAINT-DENIS,2023-01-14,21,5,1,0,21
BASILIQUE DE SAINT-DENIS,2023-01-14,22,5,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-14,23,5,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-15,0,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,1,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,2,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,3,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,4,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,5,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,6,6,1,0,0
BASILIQUE DE SAINT-DENIS,2023-01-15,7,6,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-15,8,6,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-15,9,6,1,0,21
BASILIQUE DE SAINT-DENIS,2023-01-15,10,6,1,0,63
BASILIQUE DE SAINT-DENIS,2023-01-15,11,6,1,0,169
BASILIQUE DE SAINT-DENIS,2023-01-15,12,6,1,0,294
BASILIQUE DE SAINT-DENIS,2023-01-15,13,6,1,0,478
BASILIQUE DE SAINT-DENIS,2023-01-15,14,6,1,0,562
BASILIQUE DE SAINT-DENIS,2023-01-15,15,6,1,0,772
BASILIQUE DE SAINT-DENIS,2023-01-15,16,6,1,0,690
BASILIQUE DE SAINT-DENIS,2023-01-15,17,6,1,0,510
BASILIQUE DE SAINT-DENIS,2023-01-15,18,6,1,0,300
BASILIQUE DE SAINT-DENIS,2023-01-15,19,6,1,0,140
BASILIQUE DE SAINT-DENIS,2023-01-15,20,6,1,0,55
BASILIQUE DE SAINT-DENIS,2023-01-15,21,6,1,0,20
BASILIQUE DE SAINT-DENIS,2023-01-15,22,6,1,0,5
BASILIQUE DE SAINT-DENIS,2023-01-15,23,6,1,0,1
BASILIQUE DE SAINT-DENIS,2023-01-16,0,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,1,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,2,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,3,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,4,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,5,0,0,0,6
BASILIQUE DE SAINT-DENIS,2023-01-16,6,0,0,0,102
BASILIQUE DE SAINT-DENIS,2023-01-16,7,0,0,0,352
BASILIQUE DE SAINT-DENIS,2023-01-16,8,0,0,0,737
BASILIQUE DE SAINT-DENIS,2023-01-16,9,0,0,0,443
BASILIQUE DE SAINT-DENIS,2023-01-16,10,0,0,0,75
BASILIQUE DE SAINT-DENIS,2023-01-16,11,0,0,0,7
BASILIQUE DE SAINT-DENIS,2023-01-16,12,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,13,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-16,14,0,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-16,15,0,0,0,37
BASILIQUE DE SAINT-DENIS,2023-01-16,16,0,0,0,187
BASILIQUE DE SAINT-DENIS,2023-01-16,17,0,0,0,456
BASILIQUE DE SAINT-DENIS,2023-01-16,18,0,0,0,720
BASILIQUE DE SAINT-DENIS,2023-01-16,19,0,0,0,516
BASILIQUE DE SAINT-DENIS,2023-01-16,20,0,0,0,199
BASILIQUE DE SAINT-DENIS,2023-01-16,21,0,0,0,37
BASILIQUE DE SAINT-DENIS,2023-01-16,22,0,0,0,3
BASILIQUE DE SAINT-DENIS,2023-01-16,23,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-17,0,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-17,1,1,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-17,2,1,0,0,0
